CustomerActionIdsMindboxId;CustomerActionActionTemplateIdsSystemName;CustomerActionActionTemplateName;CustomerActionDateTimeUtc;CustomerActionCreationDateTimeUtc;CustomerActionBrandIdsSystemName;CustomerActionChannelIdsMindboxId;CustomerActionChannelName;CustomerActionChannelIdsExternalId;CustomerActionChannelIdsSystemName;CustomerActionChannelUtmCampaign;CustomerActionChannelUtmSource;CustomerActionChannelUtmMedium;CustomerActionChannelUtmContent;CustomerActionChannelUtmTerm;CustomerActionCustomerIdsBackendID;CustomerActionCustomerIdsWebsiteID;CustomerActionCustomerIdsMindboxId
2734;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:30;19.03.2022 21:30;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;2734
2847;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:31;19.03.2022 21:31;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;2847
241801;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;30.06.2022 11:10;30.06.2022 11:10;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;2861
2861;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:31;19.03.2022 21:31;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;2861
3361;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:31;19.03.2022 21:31;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;3361
4982;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:31;19.03.2022 21:31;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;4982
6874;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:31;19.03.2022 21:31;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;6872
6907;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:31;19.03.2022 21:31;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;6907
6914;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:31;19.03.2022 21:31;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;6915
6930;ImportPriPerenoseIstoricheskoj;Импорт при переносе исторической базы клиентов;19.03.2022 21:31;19.03.2022 21:31;Dobroaif;9;Сайт;Site;Sajt;;;;;;;;6930
